DMA,Name,Population
662,Abilene-Sweetwater,266700
525,"Albany, GA",343600
532,Albany-Schenectady-Troy,1208600
790,Albuquerque-Santa Fe,1653100
644,"Alexandria, LA",198700
583,Alpena,34500
634,Amarillo,450200
743,Anchorage,379800
524,Atlanta,6193900
520,Augusta-Aiken,625900
635,Austin,2072400
800,Bakersfield,663700
512,Baltimore,2571400
537,Bangor,306100
716,Baton Rouge,782400
692,Beaumont-Port Arthur,391100
821,"Bend, OR",177000
756,Billings,248800
746,Biloxi-Gulfport,317200
502,Binghamton,286200
630,Birmingham (Ann and Tusc),1634100
559,Bluefield-Beckley-Oak Hill,268700
757,Boise,745900
506,Boston (Manchester),5882500
736,Bowling Green,199300
514,Buffalo,1326000
523,Burlington-Plattsburgh,749200
754,Butte-Bozeman,174900
767,Casper-Riverton,121700
637,Cedar Rapids-Wtrlo-Iwc&Dub,778900
648,Champaign&Sprngfld-Decatur,807000
519,"Charleston, SC",818200
564,Charleston-Huntington,936300
517,Charlotte,2925800
584,Charlottesville,224500
575,Chattanooga,862200
759,Cheyenne-Scottsbluff,130100
602,Chicago,8190200
868,Chico-Redding,438400
515,Cincinnati,2053100
598,Clarksburg-Weston,230200
510,Cleveland-Akron (Canton),3277100
752,Colorado Springs-Pueblo,884700
546,"Columbia, SC",968900
604,Columbia-Jefferson City,417400
522,"Columbus, GA (Opelika, AL)",506000
535,"Columbus, OH",2239900
673,Columbus-Tupelo-West Point,416500
600,Corpus Christi,505000
623,Dallas-Ft. Worth,7045700
682,Davenport-R.Island-Moline,641300
542,Dayton,1033700
751,Denver,4047900
679,Des Moines-Ames,1013000
505,Detroit,4202100
606,Dothan,223400
676,Duluth-Superior,365700
765,El Paso (Las Cruces),889100
565,Elmira (Corning),203400
516,Erie,337300
801,Eugene,579800
802,Eureka,141400
649,Evansville,628000
745,Fairbanks,79200
724,Fargo,546100
513,Flint-Saginaw-Bay City,974600
866,Fresno-Visalia,1699200
571,Ft. Myers-Naples,1306400
670,Ft. Smith-Fay-Sprngdl-Rgrs,762800
509,Ft. Wayne,622900
592,Gainesville,307300
773,Grand Junction-Montrose,171300
563,Grand Rapids-Kalmzoo-B.Crk,1781500
755,Great Falls,140000
658,Green Bay-Appleton,989800
518,Greensboro-H.Point-W.Salem,1600200
545,Greenville-N.Bern-Washngtn,704800
567,Greenvll-Spart-Ashevll-And,2074500
647,Greenwood-Greenville,141300
636,Harlingen-Wslco-Brnsvl-Mca,1111700
566,Harrisburg-Lncstr-Leb-York,1759000
569,Harrisonburg,232800
533,Hartford & New Haven,2289100
710,Hattiesburg-Laurel,251300
766,Helena,66200
744,Honolulu,1209200
618,Houston,6298400
691,Huntsville-Decatur (Flor),916700
758,Idaho Fals-Pocatllo(Jcksn),333900
527,Indianapolis,2638800
718,"Jackson, MS",764500
639,"Jackson, TN",222300
561,Jacksonville,1725400
574,Johnstown-Altoona-St Colge,647200
734,Jonesboro,189200
603,Joplin-Pittsburg,336000
747,Juneau,27500
616,Kansas City,2195500
557,Knoxville,1228200
702,La Crosse-Eau Claire,489600
582,"Lafayette, IN",178800
642,"Lafayette, LA",531100
643,Lake Charles,230300
551,Lansing,595400
749,Laredo,231800
839,Las Vegas,2023100
541,Lexington,1129600
558,Lima,153200
722,Lincoln & Hastings-Krny,625200
693,Little Rock-Pine Bluff,1259100
803,Los Angeles,15704700
529,Louisville,1523200
651,Lubbock,398300
503,Macon,577800
669,Madison,887800
737,Mankato,106600
553,Marquette,186300
813,Medford-Klamath Falls,394800
640,Memphis,1509500
711,Meridian,146100
528,Miami-Ft. Lauderdale,4186300
617,Milwaukee,1995500
613,Minneapolis-St. Paul,4150100
687,Minot-Bsmrck-Dcknsn(Wlstn),349800
762,Missoula,281100
686,Mobile-Pensacola (Ft Walt),1294800
628,Monroe-El Dorado,386400
828,Monterey-Salinas,655500
698,Montgomery-Selma,526000
570,Myrtle Beach-Florence,714600
659,Nashville,2579200
622,New Orleans,1504100
501,New York,18183100
544,Norfolk-Portsmth-Newpt Nws,1675200
740,North Platte,31100
633,Odessa-Midland,409100
650,Oklahoma City,1654900
652,Omaha,975700
534,Orlando-Daytona Bch-Melbrn,3911200
631,Ottumwa-Kirksville,107200
632,Paducah-Cape Girard-Harsbg,826600
804,Palm Springs,411200
656,Panama City,335300
597,Parkersburg,139100
675,Peoria-Bloomington,531300
